A	@@@noun::e
A1	@@@adjective::SAnaxAra/bahuwa_hI_acCA
AA	@@@noun::e_e
AB	@@@noun::kalA_snAwaka
ABC	@@@noun::varNamAlA/prAWamika_jFAna
ABCs	@@@noun::prAWamika_jFAna
ABLS	@@@noun::e_bI_ela_esa
ABS	@@@noun::Ebsa
AC	@@@noun::esI/es
ACAS	@@@noun::EkAsa
ACC	@@@noun::e_sI_sI
ACE	@@@noun::alAida_kamAMda_yUropa
AD	@@@adverb::EdI
ADC	@@@noun::e_dI_sI
AGM	@@@noun::e_gI_ema
AI	@@@noun::e._AI.
AIDS	@@@noun::edsa/edsa{bImArI}
ANO	@@@noun::e_ena_o
ANSI	@@@noun::ANSI
APR	@@@noun::e_pI_Araa
ASA	@@@noun::e_esa_ea
ASCII	@@@noun::EskII
ASG	@@@noun::e_esa_jI
ATL	@@@noun::ATlY
AV	@@@adjective::e_vI
AWACS	@@@noun::avEksa
Ab	@@@noun::OYba
Abadan	@@@noun::abAxAna
Abdias	@@@noun::ebdAyasa
Abel	@@@noun::ebala
Aberdeen	@@@noun::EbaradIna
Abidjan	@@@noun::abijAna
Abies	@@@noun::xevaxAra
Abo	@@@noun::OYstreliyAI_AxivAsI
Abor	@@@noun::ebOra
Aboriginal	@@@adjective::OYstreliyAI_AxivAsiyoM_kA@@@noun::OYstreliyAI_AxivAsI
Aborigine	@@@noun::OYstreliyAI_AxivAsI/mUla_nivAsI
Abraham	@@@noun::abrAhama
Abruzzi	@@@noun::abrUjZI
Abuja	@@@noun::abUjA
Abukir	@@@noun::abUkIra
Abydos	@@@noun::abAidOsa
Abyssinia	@@@noun::abisIniyA
Abyssinian	@@@noun::abisIniyAI
Ac	@@@noun::esII
Acadia	@@@noun::akediyA
Acadian	@@@adjective::akediyAI@@@noun::akediyAI
Acapulco	@@@noun::akEpulko
Accho	@@@noun::Eko
Accra	@@@noun::AkarA
Achaean	@@@noun::akIyAvAsI/akIyAI
Achaian	@@@noun::akIyAvAsI/akIyAI
Acheron	@@@noun::EkarOna
Acheronian	@@@adjective::EkarOnI
Acherontic	@@@adjective::EkarOnI
Acheson	@@@noun::Ekisana
Achilles	@@@noun::akilIjZa
